SSA,MP concentration,HM concentration,Hydrated radius,Electronegativity,Molar mass,Temperature,pH,Qm
,0.5,10,,2,200.59,25,9,2.081395
,0.5,10,,2,200.59,30,7,15.7585
,0.5,10,,2,200.59,40,7,14.4906
,0.5,10,,2,200.59,50,7,13.5849
,0.5,10,,2,200.59,60,7,10.0226
,0.5,2,,2,200.59,60,7,3.332539078
,0.5,3.5,,2,200.59,60,7,5.011870974
,0.5,5,,2,200.59,60,7,6.175645231
,0.5,6.5,,2,200.59,60,7,6.984005553
,0.5,15,4.26,1.6,112.41,25,4,5.8953525
,0.5,15,4.26,1.6,112.41,25,5,6.26163
,0.5,15,4.26,1.6,112.41,25,6,6.6976725
,0.5,15,4.26,1.6,112.41,25,7,7.3081425
,0.5,15,4.26,1.6,112.41,25,8,6.9418575
,0.5,15,4.26,1.6,112.41,25,9,6.5581425
,10,20,4.01,2.33,207.2,25,3,1.503986
,10,20,4.01,2.33,207.2,25,4,1.822118
,10,20,4.01,2.33,207.2,25,5,1.968552
,10,20,4.01,2.33,207.2,25,6,1.993442
,10,20,4.01,2.33,207.2,25,8,1.991128
,10,20,4.01,2.33,207.2,25,10,1.990744
,10,20,4.01,2.33,207.2,25,12,1.980708
,10,19.7739,4.01,2.33,207.2,25,6,1.974625609
,10,39.8974,4.01,2.33,207.2,25,6,3.946247844
,10,59.9377,4.01,2.33,207.2,25,6,5.940161721
,10,79.8473,4.01,2.33,207.2,25,6,7.832972222
,10,99.8578,4.01,2.33,207.2,25,6,9.856464149
,10,20,4.01,2.33,207.2,25,6,1.991412
,15,20,4.01,2.33,207.2,25,6,0.588957333
,20,20,4.01,2.33,207.2,25,6,0.557669
,25,20,4.01,2.33,207.2,25,6,0.3980368
,30,20,4.01,2.33,207.2,25,6,0.403272
,10,20,4.26,1.6,112.41,25,3,1.43839
,10,20,4.26,1.6,112.41,25,4,1.721802
,10,20,4.26,1.6,112.41,25,5,1.943472
,10,20,4.26,1.6,112.41,25,6,1.989584
,10,20,4.26,1.6,112.41,25,8,1.989194
,10,20,4.26,1.6,112.41,25,10,1.983026
,10,20,4.26,1.6,112.41,25,12,1.982636
,10,19.778,4.26,1.6,112.41,25,12,1.973929445
,10,39.9198,4.26,1.6,112.41,25,12,3.93619208
,10,59.7488,4.26,1.6,112.41,25,12,5.897505304
,10,79.9225,4.26,1.6,112.41,25,12,7.757693447
,10,99.8944,4.26,1.6,112.41,25,12,9.809819879
,10,20,4.26,1.6,112.41,25,6,1.991412
,15,20,4.26,1.6,112.41,25,6,0.462985333
,20,20,4.26,1.6,112.41,25,6,0.529755
,25,20,4.26,1.6,112.41,25,6,0.358528
,30,20,4.26,1.6,112.41,25,6,0.393251333
0.1,0.2,200,4.01,2.33,207.2,25,,449.032
0.1,0.4,200,4.01,2.33,207.2,25,,303.871
0.1,0.6,200,4.01,2.33,207.2,25,,269.6773333
0.1,0.8,200,4.01,2.33,207.2,25,,216.77425
0.1,1.2,200,4.01,2.33,207.2,25,,164.5161667
0.1,0.6,400,4.01,2.33,207.2,25,,651.213
0.1,0.6,500,4.01,2.33,207.2,25,,694.34
,1,100,4.01,2.33,207.2,25,4,95.1755
,1,100,4.01,2.33,207.2,25,5,97.4934
,1,100,4.01,2.33,207.2,25,6,98.6026
,1,100,4.01,2.33,207.2,25,7,96.3841
,1,100,4.01,2.33,207.2,25,8,94.6954
,1,50,4.01,2.33,207.2,25,5,49.45025
,1,100,4.01,2.33,207.2,25,5,98.563
,1,150,4.01,2.33,207.2,25,5,143.06805
,1,200,4.01,2.33,207.2,25,5,185.0456
,1,250,4.01,2.33,207.2,25,5,225.35375
,0.2,100,4.01,2.33,207.2,25,5,327.6515
,0.4,100,4.01,2.33,207.2,25,5,176.752
,0.6,100,4.01,2.33,207.2,25,5,129.9873333
,0.8,100,4.01,2.33,207.2,25,5,112.239625
,1,100,4.01,2.33,207.2,25,5,98.6742
,1.2,100,4.01,2.33,207.2,25,5,82.78091667
,1,100,4.3,1.6,65.93,25,5,68.132
,1,100,4.38,1.5,54.94,25,5,63.0161
,1,100,4.19,1.9,63.55,25,5,65.813
,1,100,4.04,1.91,58.69,25,5,64.4575
25,0.5,100,4.01,2.33,207.2,45,2,11.6183
25,0.5,100,4.01,2.33,207.2,45,3,53.9419
25,0.5,100,4.01,2.33,207.2,45,4,146.888
25,0.5,100,4.01,2.33,207.2,45,5,173.444
25,0.5,100,4.01,2.33,207.2,45,6,184.232
25,0.5,100,4.01,2.33,207.2,45,7,188.382
25,0.5,60,4.01,2.33,207.2,45,5.6,113.986
25,0.5,80,4.01,2.33,207.2,45,5.6,144.755
25,0.5,100,4.01,2.33,207.2,45,5.6,174.126
25,0.5,120,4.01,2.33,207.2,45,5.6,183.916
25,0.5,140,4.01,2.33,207.2,45,5.6,189.51
25,0.5,160,4.01,2.33,207.2,45,5.6,192.308
25,0.5,180,4.01,2.33,207.2,45,5.6,193.706
0.5,0.1,100,3.75,1.6,51.996,25,1,273.585
0.5,0.1,100,3.75,1.6,51.996,25,2,443.396
0.5,0.1,100,3.75,1.6,51.996,25,3,608.491
0.5,0.1,100,3.75,1.6,51.996,25,4,787.736
0.5,0.1,100,3.75,1.6,51.996,25,5,386.792
0.5,0.1,100,3.75,1.6,51.996,25,6,226.415
0.5,0.1,15.21525,3.75,1.6,51.996,25,4,63.2636
0.5,0.1,27.0795,3.75,1.6,51.996,25,4,70.795
0.5,0.1,79.04415,3.75,1.6,51.996,25,4,79.3305
0.5,0.1,108.68619,3.75,1.6,51.996,25,4,86.8619
0.5,0.1,306.71524,3.75,1.6,51.996,25,4,89.3724
0.5,0.1,709.33891,3.75,1.6,51.996,25,4,93.3891
0.00035,2,50,4.04,1.91,58.69,30,3,9.831925
0.00035,2,50,4.04,1.91,58.69,30,4,12.2479
0.00035,2,50,4.04,1.91,58.69,30,5,17.079825
0.00035,2,50,4.04,1.91,58.69,30,6,22.542025
0.00035,2,50,4.04,1.91,58.69,30,7,22.2269
0.00035,2,50,4.04,1.91,58.69,30,8,16.2395
0.00035,2,50,4.04,1.91,58.69,30,9,11.7227
0.00035,2,50,4.04,1.91,58.69,30,6,22.522925
0.00035,2,100,4.04,1.91,58.69,30,6,40.22935
0.00035,2,150,4.04,1.91,58.69,30,6,57.04125
0.00035,2,200,4.04,1.91,58.69,30,6,65.3211
0.00035,2,250,4.04,1.91,58.69,30,6,75.45875
0.00035,2,300,4.04,1.91,58.69,30,6,86.42205
0.00035,0.5,50,4.04,1.91,58.69,30,6,78.125
0.00035,1,50,4.04,1.91,58.69,30,6,43.5547
0.00035,1.5,50,4.04,1.91,58.69,30,6,30.14323333
0.00035,2,50,4.04,1.91,58.69,30,6,22.5586
0.00035,2.5,50,4.04,1.91,58.69,30,6,18.08594
0.00035,3,50,4.04,1.91,58.69,30,6,15.03906667
0.00035,2,50,4.3,1.6,65.93,30,3,17.289925
0.00035,2,50,4.3,1.6,65.93,30,4,19.285725
0.00035,2,50,4.3,1.6,65.93,30,5,21.59665
0.00035,2,50,4.3,1.6,65.93,30,6,22.962175
0.00035,2,50,4.3,1.6,65.93,30,7,23.172275
0.00035,2,50,4.3,1.6,65.93,30,8,20.86135
0.00035,2,50,4.3,1.6,65.93,30,9,19.4958
0.00035,2,50,4.3,1.6,65.93,30,6,23.0734
0.00035,2,100,4.3,1.6,65.93,30,6,43.3945
0.00035,2,150,4.3,1.6,65.93,30,6,55.5963
0.00035,2,200,4.3,1.6,65.93,30,6,67.2477
0.00035,2,250,4.3,1.6,65.93,30,6,80.27525
0.00035,2,300,4.3,1.6,65.93,30,6,91.78905
0.00035,0.5,50,4.3,1.6,65.93,30,6,87.8906
0.00035,1,50,4.3,1.6,65.93,30,6,45.41015
0.00035,1.5,50,4.3,1.6,65.93,30,6,31.57553333
0.00035,2,50,4.3,1.6,65.93,30,6,23.632825
0.00035,2.5,50,4.3,1.6,65.93,30,6,18.98438
0.00035,3,50,4.3,1.6,65.93,30,6,15.88541667
,0.2,10,,2,200.59,25,7.5,41.25
,0.2,10,4.61,1.6,51.996,25,7.5,37.3
,0.2,10,4.26,1.6,112.41,25,7.5,34.1
,0.2,10,4.23,1.8,58.93,25,7.5,26.95
,0.2,10,4.01,2.33,207.2,25,7.5,24.45
1000,2,1,3.75,1.6,51.996,25,5,0.322865
1000,2,5,3.75,1.6,51.996,25,5,1.29442
1000,2,10,3.75,1.6,51.996,25,5,1.72589
1000,2,20,3.75,1.6,51.996,25,5,1.70051
1000,2,1,3.75,1.6,51.996,25,5,0.263501
1000,2,1,3.75,1.6,51.996,25,5,0.303858
1000,2,1,3.75,1.6,51.996,25,5,0.300297
1000,2,1,3.75,1.6,51.996,25,5,0.280119
1000,2,1,3.75,1.6,51.996,25,5,0.336608
1000,2,1,3.75,1.6,51.996,25,5,0.353062
1000,2,1,4.61,1.6,51.996,25,5,0.0233333
69.86,20,5.82819,4.19,1.9,63.55,25,6,0.225281
69.86,20,0.5,4.19,1.9,63.55,25,4,0.0208325
69.86,20,0.5,4.19,1.9,63.55,25,5,0.0211791
69.86,20,0.5,4.19,1.9,63.55,25,6,0.0226003
69.86,20,0.5,4.19,1.9,63.55,25,7,0.0210129
69.86,20,0.5,4.19,1.9,63.55,25,8,0.0200701
69.86,20,6.05398,4.19,1.9,63.55,25,8,0.212848
240,3,44.0137,4.19,1.9,63.55,25,5,6.0654
240,3,60.64825,4.19,1.9,63.55,25,5,7.97275
240,3,77.12072,4.19,1.9,63.55,25,5,8.85014
240,3,96.10311,4.19,1.9,63.55,25,5,9.76567
240,3,130.3443,4.19,1.9,63.55,25,5,11.8638
240,3,167.4971,4.19,1.9,63.55,25,5,12.3597
240,3,30.57302,4.3,1.6,65.93,25,5,4.15804
240,3,45.87939,4.3,1.6,65.93,25,5,6.33243
240,3,61.24731,4.3,1.6,65.93,25,5,7.01907
240,3,76.57537,4.3,1.6,65.93,25,5,7.51499
240,3,91.94847,4.3,1.6,65.93,25,5,8.73569
240,3,122.4928,4.3,1.6,65.93,25,5,9.9564
240,3,153.17543,4.3,1.6,65.93,25,5,9.80381
240,3,39.55899,4.04,1.91,58.69,25,5,1.56403
240,3,55.08128,4.04,1.91,58.69,25,5,2.47956
240,3,69.04121,4.04,1.91,58.69,25,5,3.05177
240,3,87.68028,4.04,1.91,58.69,25,5,3.85286
240,3,115.06266,4.04,1.91,58.69,25,5,4.46322
240,3,140.23321,4.04,1.91,58.69,25,5,4.42507
,10,10,4.26,1.6,112.41,25,6,0.333333
,10,10,4.01,2.33,207.2,25,6,0.306944
,10,10,4.3,1.6,65.93,25,6,0.305556
,10,10,4.19,1.9,63.55,25,6,0.025
,10,10,4.04,1.91,58.69,25,6,0.0138889
,10,10,4.23,1.8,58.93,25,6,0.0652778
150,5,0.8636365,3.75,1.6,51.996,5,4,0.0727273
150,5,2.1688355,3.75,1.6,51.996,5,4,0.0909091
150,5,4.01818,3.75,1.6,51.996,5,4,0.203636
150,5,6.08052,3.75,1.6,51.996,5,4,0.301818
150,5,8.292205,3.75,1.6,51.996,5,4,0.272727
150,5,10.179225,3.75,1.6,51.996,5,4,0.407273
150,5,15,3.75,1.6,51.996,5,4,0.4
150,5,19.11042,3.75,1.6,51.996,5,4,0.436364
150,5,1.0421225,3.75,1.6,51.996,15,4,0.0945455
150,5,2.04788,3.75,1.6,51.996,15,4,0.181818
150,5,4.068265,3.75,1.6,51.996,15,4,0.272727
150,5,6.05228,3.75,1.6,51.996,15,4,0.356364
150,5,8.013455,3.75,1.6,51.996,15,4,0.392727
150,5,10.007895,3.75,1.6,51.996,15,4,0.407273
150,5,15.04668,3.75,1.6,51.996,15,4,0.603636
150,5,20.03041,3.75,1.6,51.996,15,4,0.618182
150,5,0.993508,3.75,1.6,51.996,25,4,0.127273
150,5,1.948053,3.75,1.6,51.996,25,4,0.218182
150,5,3.906495,3.75,1.6,51.996,25,4,0.352727
150,5,5.98052,3.75,1.6,51.996,25,4,0.381818
