SSA,MP concentration,HM concentration,Hydrated radius,Electronegativity,Molar mass,Temperature,pH,logQmax
725,4,25.1558,4.01,2.33,207.2,25,5,0.162426539
725,4,33.3636,4.01,2.33,207.2,25,5,0.162426539
725,4,42.4026,4.01,2.33,207.2,25,5,0.162426539
725,4,7.28571,4.01,2.33,207.2,25,5,0.237723225
725,4,16.4286,4.01,2.33,207.2,25,5,0.237723225
725,4,25.1558,4.01,2.33,207.2,25,5,0.237723225
725,4,33.3636,4.01,2.33,207.2,25,5,0.237723225
725,4,42.4026,4.01,2.33,207.2,25,5,0.237723225
725,4,7.28571,4.01,2.33,207.2,25,5,0.319942452
725,4,16.5325,4.01,2.33,207.2,25,5,0.319942452
725,4,25.1558,4.01,2.33,207.2,25,5,0.319942452
725,4,33.3636,4.01,2.33,207.2,25,5,0.319942452
725,4,42.4026,4.01,2.33,207.2,25,5,0.319942452
725,4,20,4.01,2.33,207.2,25,5,0.319942452
725,4,20,4.01,2.33,207.2,25,5,0.319942452
725,4,20,4.01,2.33,207.2,25,5,0.319942452
725,4,20,4.01,2.33,207.2,25,5,0.319942452
725,4,20,4.01,2.33,207.2,25,5,0.319942452
725,4,20,4.01,2.33,207.2,25,5,0.319942452
725,4,20,4.01,2.33,207.2,25,5,0.319942452
725,4,20,4.01,2.33,207.2,25,5,0.319942452
725,4,20,4.01,2.33,207.2,25,5,0.319942452
725,4,20,4.01,2.33,207.2,25,5,0.319942452
,10,20,4.01,2.33,207.2,25,6,0.653212514
,10,40,4.01,2.33,207.2,25,6,0.653212514
,10,60,4.01,2.33,207.2,25,6,0.653212514
,10,80,4.01,2.33,207.2,25,6,0.653212514
,10,100,4.01,2.33,207.2,25,6,0.653212514
,10,20,4.26,1.6,112.41,25,6,0.751279104
,10,40,4.26,1.6,112.41,25,6,0.751279104
,10,60,4.26,1.6,112.41,25,6,0.751279104
,10,80,4.26,1.6,112.41,25,6,0.751279104
,10,100,4.26,1.6,112.41,25,6,0.751279104
,0.5,2,,2,200.59,60,7,1.111262514
,0.5,3.5,,2,200.59,60,7,1.111262514
,0.5,5,,2,200.59,60,7,1.111262514
,0.5,6.5,,2,200.59,60,7,1.111262514
0.00309,1,100.61,4.04,1.91,58.69,25,5.5,1.878981123
0.00309,1,200.305,4.04,1.91,58.69,25,5.5,1.878981123
0.00309,1,300,4.04,1.91,58.69,25,5.5,1.878981123
0.00309,1,400.61,4.04,1.91,58.69,25,5.5,1.878981123
0.00309,1,499.39,4.04,1.91,58.69,25,5.5,1.878981123
0.00309,1,98.7805,4.04,1.91,58.69,35,5.5,1.90118578
0.00309,1,197.561,4.04,1.91,58.69,35,5.5,1.90118578
0.00309,1,299.085,4.04,1.91,58.69,35,5.5,1.90118578
0.00309,1,398.78,4.04,1.91,58.69,35,5.5,1.90118578
0.00309,1,497.561,4.04,1.91,58.69,35,5.5,1.90118578
0.00309,1,99.6951,4.04,1.91,58.69,45,5.5,1.911210893
0.00309,1,199.39,4.04,1.91,58.69,45,5.5,1.911210893
0.00309,1,300,4.04,1.91,58.69,45,5.5,1.911210893
0.00309,1,399.695,4.04,1.91,58.69,45,5.5,1.911210893
0.00309,1,499.39,4.04,1.91,58.69,45,5.5,1.911210893
0.00309,1,100,4.23,1.8,58.93,25,5.5,1.869525063
0.00309,1,199.091,4.23,1.8,58.93,25,5.5,1.869525063
0.00309,1,300.909,4.23,1.8,58.93,25,5.5,1.869525063
0.00309,1,400,4.23,1.8,58.93,25,5.5,1.869525063
0.00309,1,500,4.23,1.8,58.93,25,5.5,1.869525063
0.00309,1,99.0909,4.23,1.8,58.93,35,5.5,1.895256753
